entity	alias
Q10872	Archaeobacteria
Q10876	eubacteria
Q10892	protista
Q10908	amphibian
Q8316	dicots
Q8316	Dicotyledoneae
Q8316	dicotyledons
Q8316	Dicotyledons
Q8332	Fox
Q8332	red fox
Q8332	Red fox
Q8634	sac spiders
Q12106	the wheat genus
Q12358	tartari buckwheat
Q13158	garden strawberry
Q13158	strawberry plant
Q13178	blueberries
Q13178	blueberry
Q13178	Vaccinium Cyanococcus
Q13180	Rubus subg. Eubatus (not validly published)
Q13180	the blackberry subgenus
Q7386	ant
Q7535	the rhubarb plant
Q7537	Brassica oleracea Cauliflower Group
Q7537	cauliflower plant
Q7540	Eggplant
Q7540	aubergine
Q7540	brinjal
Q7540	garden egg
Q7540	guinea squash
Q7540	melongene
Q7540	Solanum melongena
Q7367	mosquito
Q7367	the mosquito family
Q7372	Euselachii
Q7372	Selachimorpha
Q7372	sharks
Q7375	camel
Q7375	the camel genus
Q7377	Mammalia
Q12059	zodariid ground spider
Q12064	Zorocratidae
Q12076	Liphistiomorpha
Q12099	Rye
Q12104	oats
Q745	strawberries
Q745	wild strawberries
Q756	green plants
Q756	Plantae
Q756	plants
Q756	green plant
Q764	fungi
Q764	Fungi
Q18498	wolf
Q18700	Balaeniceps rex
Q18700	shoe-billed Stork
Q18700	whalehead
Q13684	sweet tooth
Q13684	wood hedgehog
Q13710	four o'clock flower
Q13710	marvel of Peru
Q14080	the palm family
Q8695	the corinnid sac spiders
Q8708	the Wandering spiders
Q8713	Ctenizidae
Q9147	the penguin family
Q9482	squirrel
Q10031	Cyrtaucheniidae
Q10038	the intertidal spiders
Q10054	Diguetidae
Q10057	Funnel-web tarantulas
Q10063	cell spiders
Q10063	sowbug-eating spiders
Q10063	woodlouse hunters
Q10067	Eresidae
Q10534	the Crevice weavers
Q10545	ground spider family
Q10550	Hahniidae
Q11962	Stegobium paniceum
Q12004	the oak genus
Q12017	the long-jawed orb weavers
Q12019	cobweb spiders
Q12019	comb-footed spiders
Q12019	tangle-web spiders
Q12021	ray spiders
Q12021	Theridiosomatidae
Q12023	Thomisidae
Q12024	pine tree
Q12024	the pine genus
Q12035	Titanoecidae
Q19088	eukaryotes
Q13676	the earwigs
Q13676	the order of the earwigs
Q18764	Common palm civet
Q18764	Paradoxurus hermaphroditus
Q18766	Rynchops flavirostris
Q18785	Nesolagus netscheri
Q18785	Sumatran rabbit
Q1474	Cichorium intybus var. foliosum
Q1474	witloof
Q1493	pineapple plant
Q3072	Gorilla beringei graueri
Q3084	Noctua communimacula
Q3347	Lætacara
Q3384	turnip
Q3384	field mustard
Q3384	turnip rape
Q3384	fast plants
Q3384	turnip mustard
Q3406	the cichlid family
Q3442	marble cichlid
Q3442	oscar
Q3442	tiger oscar
Q3442	velvet cichlid
Q3541	angelfish
Q3541	deep angelfish
Q3541	Orinoco angelfish
Q3546	Amatitlania nigrofasciata
Q11577	Barley
Q11681	Nursery web spider
Q19125	Scorpiones
Q19125	the scorpions
Q19126	camel spider
Q19126	solifuge
Q19126	sun spider
Q19126	wind scorpion
Q19137	Acarina
Q19159	tetrapods
Q19163	modern birds
Q21023	Winterales
Q21035	Lycopsis arvensis
Q21035	Bugloss
Q21035	Anchusa arvensis
Q21036	Sea thrift
Q21036	Armeria vulgaris
Q21036	Marsh Daisy
Q21036	Sea cushion
Q21036	Sea Pink
Q21036	Thrift
Q13181	Cranberry
Q13181	the cranberries
Q13182	Lychee
Q13187	coconut palm
Q13188	pomegranate tree
Q13189	peach tree
Q13189	the peach tree
Q7609	gnu
Q7609	Connochaetes
Q7966	Callorhinus ursinus
Q8314	cucurbits
Q8314	the gourd family
Q20976	Cranefly
Q20976	Tipula paludosa
Q20996	button-bur
Q20996	cuckoo-button
Q20996	Lesser Burdock
Q21004	Tubuliflorae
Q34718	Rhinoceroses
Q34718	Rhinocerotidae
Q34887	Papaya tree
Q19106	sea spider
Q19106	sea spiders
Q19111	tailless whip scorpions
Q19116	daddy longlegs
Q19116	granddaddy longlegs
Q19116	harvestmen
Q19119	Pseudoscorpionida
Q19119	book scorpion
Q19119	false scorpion
Q19119	Pseudoscorpiones
Q1360	arthropods
Q1380	pepper
Q1390	Insecta
Q1390	bugs
Q1390	insects
Q1459	Hemiechinus auritus
Q3583	Aequidens pulcher
Q3583	Andinoacara pulcher
Q3613	genus of discus fishes
Q3666	Nannacara anomala
Q3681	Aequidens rivulatus
Q3689	Eendenmosselen
Q3689	Goose barnacles
Q3689	Gooseneck Barnacle
Q3689	Lepadomorpha
Q3689	Percebe
Q3689	Percebes
Q3689	Stalked barnacle
Q3705	Thorichthys meeki
Q3716	Nannacara
Q3727	zebra acara
Q3730	Ivanacara bimaculata
Q3737	Jack Dempsey
Q3767	flag acara
Q4377	Microcebus
Q21062	Colymbus aalge
Q21062	Common Guillemot
Q21062	Guillemot
Q21062	Uria aalge
Q21063	Alisma plantago
Q21063	Common water-plantain
Q21063	Mad dog weed
Q21063	Mad-dog weed
Q19170	Struthioniformes sensu lato
Q19172	the tinamou family
Q19172	tinamou
Q19172	tinamus
Q10591	Liocranidae
Q10627	wolf spiders
Q17170	trilobites
Q17556	Circus ranivorus
Q17592	common ostrich
Q17592	Struthio camelus
Q17970	Jabiru stork
Q18099	Bison
Q18099	Bison Coolers
Q18099	buffalo
Q18457	dendryphantines
Q18498	gray wolf
Q18498	grey wolf
Q18498	timber wolf
Q18498	western wolf
Q21118	Acanthephippium
Q21118	Acanthophippium (original spelling)
Q21120	Asterias rubens
Q21121	House longhorn beetle
Q21121	Hylotrupes bajulus
Q21121	Old house borer
Q21121	Old-house borers
Q21122	Marsh Horsetail
Q35517	Alces alces
Q35517	elk
Q19370	the Darter family
Q21038	Coccyganthe flos-cuculi
Q21038	Coronaria flos-cuculi
Q21038	Lychnis flos-culculi
Q21038	Ragged robin
Q21038	Ragged Robins
Q21038	Ragged-robin
Q4754	Iowa pleistocene snail
Q4754	Iowa Pleistocene Snail
Q4754	Pleistocene disk
Q4758	Caecilia
Q4758	Apoda
Q4758	Caecilian worm
Q4758	Caecilians
Q4758	Caecillian
Q4758	Cicilian worm
Q4758	Coecilians
Q18844	white-headed stilt
Q18845	Cuckoo
Q18845	Cuculus canorus
Q4388	Eurasian red squirrel
Q4388	Sciurus vulgaris
Q4468	Goby fish
Q4468	Gobies
Q4468	Gobiids
Q18789	the heron family
Q4764	Common eastern crane
Q4764	Eurasian Crane
Q4764	Grus grus
Q4764	Grus turfa
Q35047	cyprinids
Q35051	Brassica oleracea var. capitata
Q35517	eurasian elk
Q4504	Komodo dragon
Q4504	Komodo island monitor
Q4504	Komodo monitor
Q4504	Komodos
Q18818	Tonkin snub-nosed monkey
Q18818	Dollman's snub-nosed monkey
Q18825	Macropygia emiliana
Q18834	Gelochelidon nilotica
Q19401	Phalacrocorax
Q21175	sheep tick
Q21175	Acarus ricinoides
Q21175	castor bean tick
Q21175	central European tick
Q21175	Crotonus ricinus
Q21175	Cynorhaestes hermanni
Q21175	Cynorhaestes reduvius
Q21175	Cynorhaestes ricinus
Q21175	Ixodes bipunctatus
Q21175	Ixodes fodiens
Q21175	Ixodes megathyreus
Q21175	Ixodes plumbeus
Q21175	Ixodes pustularum
Q21175	Ixodes reduvius
Q21175	Ixodes rufus
Q21175	Ixodes scuiri
Q21175	Ixodes sulcatus
Q21175	Ixodes trabeatus
Q35694	Panthera onca
Q35694	Leo onca
Q21040	ox eye diasy
Q21053	Brain worm
Q21053	Dicrocoeliasis
Q21053	Dicrocoelium lanceolatum
Q21053	Lancet fluke
Q21053	Lancet Liver Fluke
Q19413	pelican
Q19413	the Pelican genus
Q4524	Ochotona alpina
Q4535	Nerpa
Q4535	Phoca sibirica
Q4535	Lake baikal seal
Q4535	Pusa sibirica
Q4610	Reptantia
Q18835	black-bellied plover
Q18835	Pluvialis squatarola
Q18836	Little button-quail
Q18836	Turnix sylvatica
Q18836	Turnix sylvaticus
Q21124	Cardium edulis
Q21124	Common cockle
Q21125	Lathyrus maritimus
Q21125	Sea Pea
Q21125	Sea vetchling
Q21125	Seaside pea
Q21126	Sea Plantain
Q34718	rhino
Q46360	Testudinidae
Q46435	Dicrurus macrocercus
Q46552	Cyclocheilichthys enoplus
Q21107	Aeridium
Q21107	Cat's tail orchid
Q21107	Cat's-tail orchid
Q21107	Dendrorkis
Q21107	Fox Brush Orchid
Q21107	Orxera
Q21110	Eringoes
Q21110	Sea holly
Q21110	Sea-holly
Q21113	Arion ater
Q21113	Arion empiricorum
Q21113	Black arion
Q21113	European black slug
Q21113	Great black slug
Q21113	Large black slug
Q21116	Common whelk
Q5113	birds
Q19630	Tympanuchus cupido
Q19707	donkey
Q19707	ass
Q35625	the ginger species
Q18837	Tringa glareola
Q18838	Zanclostomus javanicus
Q18839	Thalasseus bengalensis
Q21128	a seagrass
Q21129	Anacharis
Q21129	Water weed
Q21129	Water weeds
Q21129	Waterweed
Q21130	Beach grass
Q21130	Beachgrass
Q21130	Marram
Q21130	Marram grass
Q21130	Salt-tolerant grass
Q20854	Matricaria perforata
Q20854	Scentless chamomile
Q20854	Scentless Mayweed
Q20854	Tripleurospermum perforatum
Q20857	Crassostrea gigas
Q20857	Japanese oyster
Q18856	Xenus cinereus
Q18857	Charadrius leschenaultii
Q18854	Numenius arquata
Q18854	whaup
Q18855	Charadrius alexandrinus
Q20815	Adam and Eve
Q20815	Aplectrum hyemale
Q20815	putty root
Q20815	putty-root
Q20819	Alamania punicea
Q20819	Epidendrum puniceum
Q20820	Amerorchis rotundifolia
Q20820	Galearis rotundifolia
Q20820	Round-leaved orchis
Q19537	chimpancé enano
Q19537	chimpancé grácil
Q19537	chimpancé pigmeo
Q19537	Pan paniscus
Q19551	Lesser prairie-chicken
Q19551	Tympanuchus pallidicinctus
Q19555	Kauai oo
Q19555	Moho braccatus
Q46871	common walnut
Q46871	English walnut
Q46871	Old World Walnut
Q46871	Persian walnut
Q21132	Mytilis
Q21139	Aerobion
Q21139	Angcm
Q21139	Angorchis
Q21139	Angrec
Q21139	Bonniera
Q21139	Comet orchid
Q21139	Ctenorchis
Q21139	Lepervenchea
Q21139	Macroplectrum
Q21139	Monixus
Q22694	Knotted Marjoram
Q22694	Majorana hortensis
Q22694	Origanum maiorana
Q22694	Origanum majorana
Q22694	Origanum Majorana
Q22694	Sweet Majoram
Q22694	Sweet marjoram
Q22694	Sweet marjoram oil
Q21155	Arenicola marina
Q21155	lug worm
Q21155	sandworm
Q21171	Common Rough Woodlouse
Q21171	Rough woodlouse
Q21173	Yellow Flag
Q21173	Water flag
Q21173	Yellow iris
Q21173	Yellow Iris
Q19436	Eurypterida
Q19486	Allenopithecus nigroviridis
Q46871	Walnut
Q21148	Eurasian Golden Plover
Q21148	Eurasian Golden-Plover
Q21148	European Golden-Plover
Q21148	Golden Plover
Q21148	Pluvialis apricaria
Q21154	True oyster
Q21154	true oysters
Q21154	True oysters
Q18860	Calidris ruficollis
Q18861	Hydrophasianus chirurgus
Q18864	Limosa lapponica
Q18865	Pluvialis fulva
Q18866	Thalasseus bergii
Q18867	South American yellow-footed tortoise
Q18867	Yellow-footed tortoise
Q35922	bamboo
Q21695	the grebe family
Q21695	grebe
Q21698	Neem
Q21755	Otididae
Q21177	Cirsium lanceolatum
Q21177	Spear Thistle
Q21187	Common sundew
Q21187	Round-leaved sundew
Q21187	Round‑leaved Sundew
Q21790	Monotremata
Q21824	echidna family
Q21824	spiny anteater family
Q21834	Opossums
Q21854	the Shrew opossum family
Q22699	C. sativa
Q22699	Castanea vulgaris
Q22699	Spanish chestnut
Q22699	Sweet Chestnut
Q18847	Gallinula chloropus
Q18847	Moorhen
Q18847	Swamp Chicken
Q18847	Waterhen
Q18840	Tringa nebularia
Q18841	Limosa limosa
Q18844	Himantopus leucocephalus
Q46889	Bos indicus
