entity	taxon_common_name
Q59239	Amur Brown Frog
Q59239	Heilongjiang Brown Frog
Q59239	Khabarovsk Frog
Q59277	Foothill yellow-legged frog
Q60980	bitter ginger
Q62345	Curlew Sandpiper
Q63835	Olive-tree Warbler
Q63902	Montane Woodcreeper
Q72368	buko
Q73427	Blue Whistling Thrush
Q73427	Blue Whistling-thrush
Q73427	Blue Whistling-Thrush
Q73700	Grey-headed Canary-flycatcher
Q73700	Grey-headed Canary-Flycatcher
Q73857	Indigo Flycatcher
Q73878	Crescent-chested Babbler
Q73916	Mangrove Whistler
Q73950	Grey-throated Ibon
Q73950	Javan Grey-throated White-eye
Q73950	Mees's White-eye
Q74565	Bromeliad Dragonlet
Q76971	Canoe birch
Q76971	paper birch
Q76971	Paper birch
Q79817	hemp
Q80198	Hunyani labeo
Q80198	Manyame labeo
Q80348	pohlia moss
Q150345	pohlia moss
Q156354	coffee
Q221848	Black-cheeked Waxbill
Q1136303	Molly
Q2900273	paper birch
Q5409656	pohlia moss
Q8464689	pohlia moss
Q10610394	pohlia moss
Q10910723	pohlia moss
Q11865332	pohlia moss
Q11868299	pohlia moss
Q13100186	pohlia moss
Q15246487	pohlia moss
Q15323559	pohlia moss
Q15324131	pohlia moss
Q15324271	pohlia moss
Q15324922	pohlia moss
Q15324923	pohlia moss
Q17282823	pohlia moss
Q24246602	Mangrove Whistler
Q81091	European bison
Q81091	European Bison
Q82014	jasmine
Q83193	garden lettuce
Q83634	merismatium lichen
Q83720	Elegant Unicornfish
Q83720	Indian orange-spine Unicorn
Q83720	Lipstick Surgeonfish
Q93235	Cowberry
Q93235	lingonberry
Q93235	Lingonberry
Q94643	banana
Q101538	clover
Q102778	comb jellies
Q106728	Megamouth shark
Q106728	Megamouth Shark
Q112045	Japanese giant salamander
Q112045	Japanese Giant Salamander
Q578052	lettuce
Q1094327	Barber
Q2494656	bishop
Q2605826	Barber
Q8666090	banana
Q10581838	merismatium lichen
Q10581839	merismatium lichen
Q20747334	cattle
Q4504	Ora
Q34687	rose
Q80736	Pesquet's Parrot
Q81091	Wisent
Q83720	Orangespine Unicornfish
Q83720	Smoothheaded Unicornfish
Q93611	Point Snail
Q101680	Pine family
Q101815	tea
Q101815	Tea plant
Q106094	Stone Pine
Q1156691	Pandora
Q1401376	partridgeberry
Q2700648	Pandora
Q3645698	trefoil
Q15575895	pitchfork
Q25131813	tea
Q119996	Asian Salamanders
Q121791	Asian giant hornet
Q126336	Black racer
Q128004	Anomalous Sea Snake
Q129413	Bulwer's Petrel
Q131342	Broad Bean
Q132039	Avocado
Q132576	Black-faced Impala
Q132651	amorphophallus
Q132905	Bunch
Q134277	Bold Jumper
Q134744	Black Swallowtail
Q134992	African Butter Catfish
Q134992	African glass catfish
Q134992	Butter barbel
Q134992	Butter catfish
Q134992	Butter fish
